domain,screen_name,route,short_description
Auth And Entry,SplashScreen,/,"Startup gate that handles initial brand presentation, session restore, and first navigation routing."
Auth And Entry,OnboardingScreen,/onboarding,Introductory marketing/onboarding screen that explains the app value and pushes users into authentication.
Auth And Entry,OtpScreen,/otp,"Phone number capture screen with a focused, low-friction OTP request flow."
Auth And Entry,OtpVerifyScreen,/otp-verify,"Verification screen for entering and confirming the OTP code with a simple, trust-first auth UI."
Auth And Entry,RegisterScreen,/register,New-user profile setup screen that collects the minimum identity details required to activate the account.
Auth And Entry,AppAccessOnboardingScreen,/app-access,Access-approval entry screen that explains availability or rollout access and guides the user to the next allowed step.
Core Status,CoolTokensScreen,/tokens,"Gamification/status screen that shows token balances, progress, and reward-oriented engagement data."
Core Status,MissionsScreen,/missions,"Missions hub where users browse active tasks, progress states, and reward opportunities."
Core Status,ReferralHubScreen,/referral,Referral center that helps users share invite links/QR codes and understand referral rewards.
Admin,AdminWorkspacesScreen,/admin,Admin landing screen that routes staff into the correct workspace or control area.
Admin,AdminDashboardScreen,/admin/platform,"High-level platform command screen summarizing system health, activity, and major admin actions."
Admin,AuditLogScreen,/admin/audit-log,Operational trace screen for reviewing administrative actions and accountability records.
Admin,OperationalDashboardScreen,/admin/operations,"Monitoring screen for live platform operations, triage, and operational readiness signals."
Admin,SystemAnalyticsScreen,/admin/analytics,"Analytics dashboard for platform-wide trends, KPIs, and decision-support metrics."
Admin,ManageUsersScreen,/admin/users,"User management screen for browsing, filtering, and acting on user accounts."
Admin,ManagePartnersScreen,/admin/partners,Partner catalog management screen for reviewing and editing partner entities in the platform.
Admin,PartnerAdminWorkspaceScreen,/admin/partners/:partnerId,"Scoped partner workspace for managing a single partner’s settings, content, and operational surfaces."
Admin,BankAdminWorkspaceScreen,/admin/banks/:partnerId,"Bank-specific operations screen for allocation, ledger review, and savings/group administration."
Admin,ManageServicesScreen,/admin/services,"Service configuration screen for editing service cards, availability, and action behavior."
Admin,ManageQuickActionsScreen,/admin/quick-actions,Admin tool for curating shortcut actions and surfaced utility flows in the app shell.
Admin,ManageVehicleTypesScreen,/admin/vehicle-types,Mobility configuration screen for maintaining vehicle categories and related operational metadata.
Admin,ManageAppConfigScreen,/admin/app-config,"Central application configuration screen for rollout flags, runtime settings, and scoped config values."
Admin,ManageMissionsScreen,/admin/missions,"Mission authoring and control screen for engagement missions, rules, and activation state."
Admin,ManageActivitiesScreen,/admin/activities,Activity management screen for configuring platform activities and engagement surfaces.
Admin,ManageSeasonsScreen,/admin/seasons,Seasonal content and timing management screen for campaign/season lifecycle control.
