number,asset_id,family,theme,label_en,label_rw_draft,label_fr_draft,collection_types,context,search_terms,batch,source_path,cover_path,thumbnail_path,status
1,rw-01-neighbourhood-ikimina,savings_livelihoods,neighbourhood_savings,Neighbourhood savings circle,Ikimina cy’abaturanyi,Épargne entre voisins,ikimina,,ikimina|ibimina|kwizigama|tontine|neighbours|épargne,1,assets/group_covers/rwanda/source/rw-01-neighbourhood-ikimina-v1.png,assets/group_covers/rwanda/covers/rw-01-neighbourhood-ikimina-v1.webp,assets/group_covers/rwanda/thumbs/rw-01-neighbourhood-ikimina-v1.webp,generated_candidate
2,rw-02-women-savings-circle,savings_livelihoods,women_savings,Women building a shared fund,Abagore bizigamira hamwe,Épargne collective des femmes,ikimina,,women|abagore|kwizigama|épargne|solidarité,2,assets/group_covers/rwanda/source/rw-02-women-savings-circle-v1.png,assets/group_covers/rwanda/covers/rw-02-women-savings-circle-v1.webp,assets/group_covers/rwanda/thumbs/rw-02-women-savings-circle-v1.webp,generated_candidate
3,rw-03-young-professionals-goal,savings_livelihoods,friends_savings,Friends saving for a goal,Inshuti zizigamira intego,Un projet d’épargne entre amis,ikimina,,friends|inshuti|young adults|professionals|amis|épargne,2,assets/group_covers/rwanda/source/rw-03-young-professionals-goal-v1.png,assets/group_covers/rwanda/covers/rw-03-young-professionals-goal-v1.webp,assets/group_covers/rwanda/thumbs/rw-03-young-professionals-goal-v1.webp,generated_candidate
4,rw-04-market-traders-stock,savings_livelihoods,trader_stock,Market traders’ shared stock,Abacuruzi bishyira hamwe,Un stock commun entre commerçants,ikimina|other,,market|traders|abacuruzi|isoko|stock|commerce|marché,2,assets/group_covers/rwanda/source/rw-04-market-traders-stock-v1.png,assets/group_covers/rwanda/covers/rw-04-market-traders-stock-v1.webp,assets/group_covers/rwanda/thumbs/rw-04-market-traders-stock-v1.webp,generated_candidate
5,rw-05-moto-riders-shared-goal,savings_livelihoods,moto_goal,Moto riders’ shared goal,Abamotari bizigamira,Un objectif commun pour les motards,ikimina|other,,moto|abamotari|motorcycle|equipment|maintenance|épargne,2,assets/group_covers/rwanda/source/rw-05-moto-riders-shared-goal-v1.png,assets/group_covers/rwanda/covers/rw-05-moto-riders-shared-goal-v1.webp,assets/group_covers/rwanda/thumbs/rw-05-moto-riders-shared-goal-v1.webp,generated_candidate
6,rw-06-farmers-season-inputs,savings_livelihoods,farm_inputs,Farmers preparing the season,Abahinzi bitegura igihembwe,Préparer la saison agricole ensemble,ikimina|other,,farmers|abahinzi|ubuhinzi|seeds|inputs|agriculture|semences,2,assets/group_covers/rwanda/source/rw-06-farmers-season-inputs-v1.png,assets/group_covers/rwanda/covers/rw-06-farmers-season-inputs-v1.webp,assets/group_covers/rwanda/thumbs/rw-06-farmers-season-inputs-v1.webp,generated_candidate
7,rw-07-family-home-goal,savings_livelihoods,home_savings,Saving for a family home,Kwizigamira inzu y’umuryango,Épargner pour la maison familiale,ikimina|other,,home|housing|inzu|umuryango|construction|logement|maison,2,assets/group_covers/rwanda/source/rw-07-family-home-goal-v1.png,assets/group_covers/rwanda/covers/rw-07-family-home-goal-v1.webp,assets/group_covers/rwanda/thumbs/rw-07-family-home-goal-v1.webp,generated_candidate
8,rw-08-craft-cooperative-tools,savings_livelihoods,workshop_equipment,Tools for a shared workshop,Ibikoresho by’abanyabukorikori,Des outils pour l’atelier commun,ikimina|other,,cooperative|koperative|tailoring|craft|tools|ibikoresho|atelier,2,assets/group_covers/rwanda/source/rw-08-craft-cooperative-tools-v1.png,assets/group_covers/rwanda/covers/rw-08-craft-cooperative-tools-v1.webp,assets/group_covers/rwanda/thumbs/rw-08-craft-cooperative-tools-v1.webp,generated_candidate
9,rw-09-wedding-committee,weddings,wedding_committee,Wedding planning together,Gutegura ubukwe hamwe,Préparer le mariage ensemble,wedding,,wedding|ubukwe|committee|komite|umutwererano|gutwerera|mariage,2,assets/group_covers/rwanda/source/rw-09-wedding-committee-v2.png,assets/group_covers/rwanda/covers/rw-09-wedding-committee-v2.webp,assets/group_covers/rwanda/thumbs/rw-09-wedding-committee-v2.webp,generated_candidate
10,rw-10-gusaba-gukwa-gathering,weddings,traditional_wedding,Gusaba and gukwa gathering,Gusaba no gukwa,Rencontre familiale de gusaba et gukwa,wedding,,gusaba|gukwa|ubukwe|traditional wedding|mariage traditionnel,1,assets/group_covers/rwanda/source/rw-10-gusaba-gukwa-gathering-v2.png,assets/group_covers/rwanda/covers/rw-10-gusaba-gukwa-gathering-v2.webp,assets/group_covers/rwanda/thumbs/rw-10-gusaba-gukwa-gathering-v2.webp,generated_candidate
